"","plantID","level","block","trmtUHURU","year","BA","height","woodystems","fruits","binfruits","fruitsnext6mo","binfruitsnext6mo","binsurnext6mo","BM","BMnext6mo","sclass1","sclass2","season","timepoint"
"1",1,"C",1,"CONT","11",20.42820623,29.8,4,0,0,0,0,1,8.50323383035392,10.1552179296658,"1","2","W","0"
"2",2,"C",1,"CONT","11",8.992808971,13.2,2,0,0,0,0,1,4.92673367487415,11.5659089693201,"1","2","W","0"
"3",3,"C",1,"CONT","11",38.48451001,20.5,4,0,0,NA,NA,0,9.27199669797021,NA,"2","1","W","0"
"4",4,"C",1,"CONT","11",38.89291705,71.2,5,NA,NA,NA,NA,NA,14.1001777426289,NA,"2","1","W","0"
"5",5,"C",1,"LMH","11",46.56625711,166.7,1,1,1,NA,NA,NA,19.8918028433582,NA,"3","1","W","0"
"6",6,"C",1,"LMH","11",4.154756284,56.4,2,0,0,NA,NA,0,6.18248566508912,NA,"1","1","W","0"
"7",7,"C",1,"LMH","11",1.5393804,38.4,1,0,0,0,0,1,3.90366283106337,4.17672640278309,"1","1","W","0"
"8",8,"C",1,"LMH","11",3.801327111,57.8,1,0,0,0,0,1,6.05101430320795,7.16219903136715,"1","1","W","0"
"9",9,"C",1,"LMH","11",6.157521601,53.2,1,0,0,0,0,1,6.91410155926646,8.30945725605755,"1","1","W","0"
"10",10,"C",1,"LMH","11",67.92908715,362,3,16,1,NA,NA,1,29.2315206943778,29.3237603731794,"3","3","W","0"
"11",11,"C",1,"LMH","11",26.42079422,185.6,1,2,1,NA,NA,NA,17.0638472776065,NA,"2","1","W","0"
"12",12,"C",1,"MEGA","11",0.196349541,4.5,NA,0,0,NA,NA,NA,0.959517922392571,NA,"1","1","W","0"
"13",13,"C",1,"MEGA","11",7.54767635,39.6,1,0,0,0,0,1,6.70572172532996,11.5135313910647,"1","2","W","0"
"14",14,"C",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"15",15,"C",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"16",16,"C",1,"MESO","11",NA,NA,NA,NA,NA,0,0,1,NA,1.94040325265145,"1","1","W","0"
"17",17,"C",1,"MESO","11",0.502654825,10,100,0,0,0,0,1,1.71442345562077,3.02690507883872,"1","1","W","0"
"18",18,"C",1,"MESO","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"19",19,"C",2,"LMH","11",NA,NA,NA,NA,NA,0,0,NA,NA,5.46067592723045,"1","1","W","0"
"20",20,"C",2,"LMH","11",NA,NA,NA,NA,NA,0,0,NA,NA,1.05122345836281,"1","1","W","0"
"21",21,"C",2,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"22",22,"C",2,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"23",23,"C",2,"LMH","11",NA,NA,NA,NA,NA,0,0,NA,NA,0.882230761314396,"1","1","W","0"
"24",24,"C",2,"LMH","11",NA,NA,NA,NA,NA,0,0,NA,NA,0.787253138413642,"1","1","W","0"
"25",25,"C",2,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"26",26,"C",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"27",27,"C",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"28",28,"C",3,"CONT","11",NA,NA,NA,NA,NA,0,0,NA,NA,5.03401076093783,"1","1","W","0"
"29",29,"C",3,"CONT","11",NA,NA,NA,NA,NA,0,0,NA,NA,5.190612664884,"1","1","W","0"
"30",30,"C",3,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"31",31,"C",3,"LMH","11",NA,NA,NA,NA,NA,1,1,NA,NA,17.3797381592641,"1","3","W","0"
"32",32,"C",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"33",33,"C",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"34",34,"C",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"35",35,"C",3,"LMH","11",NA,NA,NA,NA,NA,0,0,NA,NA,2.58552686800262,"1","1","W","0"
"36",36,"C",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"1","1","W","0"
"37",37,"C",3,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"38",38,"C",3,"MEGA","11",NA,NA,NA,NA,NA,0,0,NA,NA,19.9727940507124,"1","3","W","0"
"39",39,"C",3,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
